variety,scientific_family,processing,food_color_background,food_color_text,datasource,nid,simple_name,name,in_master_cucumis,category,scientific name
Amour,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18748,Cucumber,"Cucumber, var. Amour",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Vertina,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18749,Cucumber,"Cucumber, var. Vertina",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Northern Pickling,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18750,Cucumber,"Cucumber, var. Northern Pickling",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Diamant,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18751,Cucumber,"Cucumber, var. Diamant",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Alibi,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18752,Cucumber,"Cucumber, var. Alibi",,"Pickling Cucumber, melon, fruit",Cucumis sativus
H-19 Little Leaf,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18753,Cucumber,"Cucumber, var. H-19 Little Leaf",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Tasty Jade,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18754,Cucumber,"Cucumber, var. Tasty Jade",,"Asian Cucumber, melon, fruit",Cucumis sativus
Suyo Long,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18755,Cucumber,"Cucumber, var. Suyo Long",,"Asian Cucumber, melon, fruit",Cucumis sativus
Genuine,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18756,Cucumber,"Cucumber, var. Genuine",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",Cucumis sativus
Olympian,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18757,Cucumber,"Cucumber, var. Olympian",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",Cucumis sativus
Marketmore 76,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18758,Cucumber,"Cucumber, var. Marketmore 76",Marketmore 76,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",Cucumis sativus
Poona Kheera,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18759,Cucumber,"Cucumber, var. Poona Kheera",Poona Kheera,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
Yellow,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18760,Cucumber,"Cucumber, var. Yellow",,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
 White,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18761,Cucumber,"Cucumber, var.  White",,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
Painted Serpent,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18762,Cucumber,"Cucumber, var. Painted Serpent",,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
Socrates,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18763,Cucumber,"Cucumber, var. Socrates",,"Seedless Cucumber Varieties - , melon, fruit",Cucumis sativus
Rocky,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18764,Cucumber,"Cucumber, var. Rocky",,"Seedless Cucumber Varieties - , melon, fruit",Cucumis sativus
Tyria,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18765,Cucumber,"Cucumber, var. Tyria",,"Seedless Cucumber Varieties - , melon, fruit",Cucumis sativus
Diva,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18766,Cucumber,"Cucumber, var. Diva",,"Seedless Cucumber Varieties - , melon, fruit",Cucumis sativus
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18767,Cucumber,,,"Greenhouse Cucumbers, melon, fruit",
Jackson Supreme Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18768,Cucumber,"Cucumber, var. Jackson Supreme Cucumbers",,,
Japanese Long Pickling Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18769,Cucumber,"Cucumber, var. Japanese Long Pickling Cucumbers",,,
Beit Alpha Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18770,Cucumber,"Cucumber, var. Beit Alpha Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Celebrity Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18771,Cucumber,"Cucumber, var. Celebrity Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Diva Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18772,Cucumber,"Cucumber, var. Diva Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Early Spring Burpless Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18773,Cucumber,"Cucumber, var. Early Spring Burpless Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Greenhouse Long Burpless Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18774,Cucumber,"Cucumber, var. Greenhouse Long Burpless Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Holland Hothouse Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18775,Cucumber,"Cucumber, var. Holland Hothouse Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Suyo Long Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18776,Cucumber,"Cucumber, var. Suyo Long Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Diva Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18777,Cucumber,"Cucumber, var. Diva Cucumbers",,"Greenhouse Cucumbers, melon, fruit",
Greenhouse Long Burpless Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18778,Cucumber,"Cucumber, var. Greenhouse Long Burpless Cucumbers",,"Greenhouse Cucumbers, melon, fruit",
Holland Hothouse Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18779,Cucumber,"Cucumber, var. Holland Hothouse Cucumbers",,"Greenhouse Cucumbers, melon, fruit",
Telegraph Improved Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18780,Cucumber,"Cucumber, var. Telegraph Improved Cucumbers",,"Greenhouse Cucumbers, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18781,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18782,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18783,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18784,Cucumber,,,"American Pickling, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18785,Cucumber,,,"American Slicing, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18786,Cucumber,,,"Asian/Burpless, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18787,Cucumber,,,"European Pickling, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18788,Cucumber,,,"Pickling, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18789,Cucumber,,,"Seedless and Thin-Skinned, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18790,Cucumber,,,"Specialty, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18791,Cucumber,,,"http://www.plantnames.unimelb.edu.au/Sorting/Cucumis.html#sativus, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18792,Cucumber,,,"http://www.nature.com/ng/journal/v41/n12/abs/ng.475.html, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18793,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18794,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18795,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18796,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18797,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18798,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18799,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18800,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18801,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18802,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18803,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18804,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18805,Cucumber,,,,
Beit Alpha Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18806,Cucumber,"Cucumber, var. Beit Alpha Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Celebrity Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18807,Cucumber,"Cucumber, var. Celebrity Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Diva Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18808,Cucumber,"Cucumber, var. Diva Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Early Spring Burpless Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18809,Cucumber,"Cucumber, var. Early Spring Burpless Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Greenhouse Long Burpless Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18810,Cucumber,"Cucumber, var. Greenhouse Long Burpless Cucumbers",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",
Holland Hothouse Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18811,Cucumber,"Cucumber, var. Holland Hothouse Cucumbers",,"Hothouse Cucumber, melon, fruit",
Suyo Long Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18812,Cucumber,"Cucumber, var. Suyo Long Cucumbers",,"Hothouse Cucumber, melon, fruit",
Diva Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18813,Cucumber,"Cucumber, var. Diva Cucumbers",,"Hothouse Cucumber, melon, fruit",
Greenhouse Long Burpless Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18814,Cucumber,"Cucumber, var. Greenhouse Long Burpless Cucumbers",,"Hothouse Cucumber, melon, fruit",
Holland Hothouse Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18815,Cucumber,"Cucumber, var. Holland Hothouse Cucumbers",,"Hothouse Cucumber, melon, fruit",
Telegraph Improved Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18816,Cucumber,"Cucumber, var. Telegraph Improved Cucumbers",,"Hothouse Cucumber, melon, fruit",
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18817,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18818,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18819,Cucumber,,,,
,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18820,Cucumber,,,,
A & C Pickling Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18821,Cucumber,"Cucumber, var. A & C Pickling Cucumbers",,"Pickling Cucumber, melon, fruit",
Alibi Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18822,Cucumber,"Cucumber, var. Alibi Cucumbers",,"Pickling Cucumber, melon, fruit",
Beit Alpha Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18823,Cucumber,"Cucumber, var. Beit Alpha Cucumbers",,"Pickling Cucumber, melon, fruit",
Boothby's Blonde Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18824,Cucumber,"Cucumber, var. Boothby's Blonde Cucumbers",,"Pickling Cucumber, melon, fruit",
Boston Pickling Improved Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18825,Cucumber,"Cucumber, var. Boston Pickling Improved Cucumbers",,"Pickling Cucumber, melon, fruit",
Bush Pickle Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18826,Cucumber,"Cucumber, var. Bush Pickle Cucumbers",,"Pickling Cucumber, melon, fruit",
Carolina Pickling Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18827,Cucumber,"Cucumber, var. Carolina Pickling Cucumbers",,"Pickling Cucumber, melon, fruit",
Chicago Pickling Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18828,Cucumber,"Cucumber, var. Chicago Pickling Cucumbers",,"Pickling Cucumber, melon, fruit",
Clinton Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18829,Cucumber,"Cucumber, var. Clinton Cucumbers",,"Pickling Cucumber, melon, fruit",
Cool Breeze Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18830,Cucumber,"Cucumber, var. Cool Breeze Cucumbers",,"Pickling Cucumber, melon, fruit",
Cross Country Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18831,Cucumber,"Cucumber, var. Cross Country Cucumbers",,"Pickling Cucumber, melon, fruit",
Crunchy Pickles Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18832,Cucumber,"Cucumber, var. Crunchy Pickles Cucumbers",,"Pickling Cucumber, melon, fruit",
Diva Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18833,Cucumber,"Cucumber, var. Diva Cucumbers",,"Pickling Cucumber, melon, fruit",
Double Yield Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18834,Cucumber,"Cucumber, var. Double Yield Cucumbers",,"Pickling Cucumber, melon, fruit",
Duke Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18835,Cucumber,"Cucumber, var. Duke Cucumbers",,"Pickling Cucumber, melon, fruit",
Eureka Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18836,Cucumber,"Cucumber, var. Eureka Cucumbers",,"Pickling Cucumber, melon, fruit",
Everbearing Pickling Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18837,Cucumber,"Cucumber, var. Everbearing Pickling Cucumbers",,"Pickling Cucumber, melon, fruit",
Extra Long Yamato Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18838,Cucumber,"Cucumber, var. Extra Long Yamato Cucumbers",,"Pickling Cucumber, melon, fruit",
Fancipak Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18839,Cucumber,"Cucumber, var. Fancipak Cucumbers",,"Pickling Cucumber, melon, fruit",
Homemade Pickles Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18840,Cucumber,"Cucumber, var. Homemade Pickles Cucumbers",,"Pickling Cucumber, melon, fruit",
Japanese Long Pickling Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18841,Cucumber,"Cucumber, var. Japanese Long Pickling Cucumbers",,"Pickling Cucumber, melon, fruit",
Little Leaf Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18842,Cucumber,"Cucumber, var. Little Leaf Cucumbers",,"Pickling Cucumber, melon, fruit",
Mexican Sour Gherkin Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18843,Cucumber,"Cucumber, var. Mexican Sour Gherkin Cucumbers",,"Pickling Cucumber, melon, fruit",
Miniature White Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18844,Cucumber,"Cucumber, var. Miniature White Cucumbers",,"Pickling Cucumber, melon, fruit",
Miss Pickler Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18845,Cucumber,"Cucumber, var. Miss Pickler Cucumbers",,"Pickling Cucumber, melon, fruit",
Muncher Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18846,Cucumber,"Cucumber, var. Muncher Cucumbers",,"Pickling Cucumber, melon, fruit",
National Pickling Improved Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18847,Cucumber,"Cucumber, var. National Pickling Improved Cucumbers",,"Pickling Cucumber, melon, fruit",
Northern Pickling Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18848,Cucumber,"Cucumber, var. Northern Pickling Cucumbers",,"Pickling Cucumber, melon, fruit",
Patio Pickles Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18849,Cucumber,"Cucumber, var. Patio Pickles Cucumbers",,"Pickling Cucumber, melon, fruit",
Persian Middle East Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18850,Cucumber,"Cucumber, var. Persian Middle East Cucumbers",,"Pickling Cucumber, melon, fruit",
Regal Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18851,Cucumber,"Cucumber, var. Regal Cucumbers",,"Pickling Cucumber, melon, fruit",
Rhinish Pickle Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18852,Cucumber,"Cucumber, var. Rhinish Pickle Cucumbers",,"Pickling Cucumber, melon, fruit",
Royal Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18853,Cucumber,"Cucumber, var. Royal Cucumbers",,"Pickling Cucumber, melon, fruit",
Sumter Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18854,Cucumber,"Cucumber, var. Sumter Cucumbers",,"Pickling Cucumber, melon, fruit",
Sweeter Yet Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18855,Cucumber,"Cucumber, var. Sweeter Yet Cucumbers",,"Pickling Cucumber, melon, fruit",
Transamerica Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18856,Cucumber,"Cucumber, var. Transamerica Cucumbers",,"Pickling Cucumber, melon, fruit",
Vert de Massy Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18857,Cucumber,"Cucumber, var. Vert de Massy Cucumbers",,"Pickling Cucumber, melon, fruit",
Wautoma Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18858,Cucumber,"Cucumber, var. Wautoma Cucumbers",,"Pickling Cucumber, melon, fruit",
West India Gherkin Cucumbers,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18859,Cucumber,"Cucumber, var. West India Gherkin Cucumbers",,"Pickling Cucumber, melon, fruit",
