name,nid,freebase_id,country_of_origin,region,source_of_milk,category,pasteurized,aging_time,certification,texture,farm_company,cheesemaker,rennet,affineur,rind
Bowland cheese,19058,/m/0464698,England,,,"cheese, dairy",,,,,,,,,
Domiati,19059,/m/0463kh3,,,,"cheese, dairy",,,,,,,,,
Moellon Beloeil,19060,/m/04dm3xf,,,,"cheese, dairy",,,,,,,,,
Paraguay Cheese,19061,/m/04f29ft,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Exquis,19062,/m/04dm3vw,,,,"cheese, dairy",,,,,,,,,
Stichelton,19063,/m/04n6rb1,,,,"cheese, dairy",,,,,,,,,
Trappista cheese,19064,/m/09kkb1,,,,"cheese, dairy",,,,,,,,,
Yarg,19065,/m/09l1n5,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Jalapeño cheese,19066,/m/0db__v,,,,"cheese, dairy",,,,,,,,,
Montasio,3777,/m/04cxk82,Italy,,,"cheese, dairy",,,,,,,,,
Wookie cheese,19068,/m/05plzc,,,,"cheese, dairy",,,,,,,,,
Cantal,19069,/m/05h_hd,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Naskavni,19070,/m/01xxs42,,,,"cheese, dairy",,,,,,,,,
Pimento cheese,19071,/m/0f415v,,,,"cheese, dairy",,,,,,,,,
Manouri cheese,19072,/m/02vpdcc,Greece,,"Domestic sheep,Domestic goat","Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
Wensleydale,19073,/m/0hztz,England,,"Domestic sheep,Cow","Domestic sheep,Cow milk, cheese, dairy",,,,,,,,,
Handkäse,19074,/m/0bb__4,Germany,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bleu d'Auvergne,19075,/m/05zxlr,France,Auvergne,Cow,"Cow milk, cheese, dairy",yes,6 months,,semi-hard,,,traditional,Jean d'Alos,foil wrapped
Chechil,19076,/m/05s_r6t,,,,"cheese, dairy",,,,,,,,,
Crowdie,19077,/m/0b69hk,Scotland,Highland,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Rodoric cheese,19078,/m/09yvgk,Belgium,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Criollo cheese,19079,/m/0db_yp,Mexico,,,"cheese, dairy",,,,,,,,,
Raejuusto,19080,/m/0376cs,Finland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Ricotta cheese,19081,/m/034n3h,Italy,,"Domestic sheep,Cow","Domestic sheep,Cow milk, cheese, dairy",,,,Soft,,,,,
Panela cheese,19082,/m/0dc00j,,,,"cheese, dairy",,,,,,,,,
Remedou cheese,19083,/m/026zww5,Belgium,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Swiss cheese,19084,/m/06q4_,"United States of America,Switzerland",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Havarti,8519,/m/03xb9f,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Danish Blue cheese,19086,/m/068qpk,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Velveeta,19087,/m/04r3t2,United States of America,,,"cheese, dairy",,,,,,,,,
Cotswold cheese,19088,/m/0bxcqc,,,,"cheese, dairy",,,,,,,,,
Brocciu,19089,/m/0cnbvd,France,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Oaxaca cheese,19090,/m/064y0m,Mexico,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cashel Blue cheese,19091,/m/08q3gf,Republic of Ireland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Whey cheese,19092,/m/0416x_r,,,,"cheese, dairy",,,,,,,,,
Yunnan Cheese,19093,/m/09gxvs,,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Époisses de Bourgogne,19094,/m/097psp,France,Époisses,Cow,"Cow milk, cheese, dairy",,,,washed-rind,,,,,
Queso Panela,19095,/m/02z1smb,,,,"cheese, dairy",,,,,,,,,
Panquehue,19096,/m/02719ng,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Ackawi,19097,/m/08pzz2,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Saga cheese,19098,/m/0dk3_w,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Ermite,19099,/m/05zhjtv,Canada,,,"cheese, dairy",,,,,,,,,
The Laughing Cow,19100,/m/06rm5b,"France,United States of America",,,"cheese, dairy",,,,,,,,,
Herrgårdsost,19101,/m/0c6qn4,Sweden,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Port-Salut cheese,19102,/m/0c4tf,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Churpee,19103,/m/0byv7q,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Castelrosso,7071,/m/0278_js,Italy,Piedmont,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Kaškaval,19105,/m/02b795,"Romania,Bulgaria",,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Provoleta,19106,/m/0fgqc8,Argentina,,,"cheese, dairy",,,,,,,,,
Salmon Cream Cheese,19107,/m/0bbdf8,,,,"cheese, dairy",,,,,,,,,
Kefalotyri cheese,19108,/m/08thd9,Greece,,"Domestic sheep,Domestic goat","Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
Cabécou,19109,/m/08nskx,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Fourme au Sauternes,19110,/m/04dm3w5,,,,"cheese, dairy",,,,,,,,,
Abbaye de Tamié,19111,/m/03gs2p6,France,,,"cheese, dairy",,,,,,,,,
Qurt,19112,/m/05b0knh,,,,"cheese, dairy",,,,,,,,,
Baby Swiss Cheese,19113,/m/05m_k3t,United States of America,,,"cheese, dairy",,,,,,,,,
Pleasant Ridge Reserve,19114,/m/05btrvc,United States of America,Wisconsin,Cow,"Cow milk, cheese, dairy",,,,hard,,,,,
Liptauer,19115,/m/0567vq,Italy,,"Domestic sheep,Cow","Domestic sheep,Cow milk, cheese, dairy",,,,,,,,,
Aveyronnais,19116,/m/04p560y,France,Midi-Pyrénées,Cow,"Cow milk, cheese, dairy",,,,Soft,,,,,
Kasseri,19117,/m/03z1zy,Greece,,"Domestic sheep,Domestic goat","Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
Blue cheese,19118,/m/03qp04,,,,"cheese, dairy",,,,,,,,,
Cheese curds,19119,/m/02952t,"United States of America,Canada",,,"cheese, dairy",,,,,,,,,
Mt Tam,19120,/m/02h7yb3,United States of America,Marin County,Cow,"Cow milk, cheese, dairy",,,,"Triple cream,Soft-ripened",Cowgirl Creamery,,,,
Fourme au Maury,19121,/m/04dm3w0,,,,"cheese, dairy",,,,,,,,,
Saint-Nectaire,19122,/m/08kph8,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Castello Blue,19123,/m/04dm3v4,,,,"cheese, dairy",,,,,,,,,
Munster,19124,/m/03h_z8,France,,Cow,"Cow milk, cheese, dairy",,,,washed-rind,,,,,
Raschera,4647,/m/04zy_jp,Italy,,,"cheese, dairy",,,,,,,,,
Chihuahua cheese,19126,/m/08ppvs,Mexico,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Pont-l'Évêque,19127,/m/0805x3,France,,Cow,"Cow milk, cheese, dairy",,,,"washed-rind,Soft",,,,,
Xynomizithra,19128,/m/08f6np,Greece,,"Domestic goat,Domestic sheep","Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Pepperjack cheese,19129,/m/064w77,United States of America,,,"cheese, dairy",,,,,,,,,
Queso blanco,19130,/m/0687nq,"Mexico,Spain",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Chhenna Poda,19131,/m/0gkf18,India,,,"cheese, dairy",,,,,,,,,
Zamorano cheese,19132,/m/0g7xnd,Spain,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Hushållsost,19133,/m/0b_ggq,Sweden,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Queso Palmita,4618,/m/0gl_q8,,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Comté,19135,/m/05b228,France,Franche-Comté,Cow,"Cow milk, cheese, dairy",,,,hard,,,,,
Bondost,19136,/m/0c7873,Sweden,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Jibneh Arabieh cheese,19137,/m/0c88_3,,,"Domestic sheep,Domestic goat,Cow","Domestic sheep,Domestic goat,Cow milk, cheese, dairy",,,,,,,,,
Caboc,19138,/m/0d0czh,Scotland,,,"cheese, dairy",,,,,,,,,
Manchego cheese,19139,/m/0f3n7,Spain,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Emmental,19140,/m/03h547,Switzerland,,Cow,"Cow milk, cheese, dairy",,,,hard,,,,,
Pepato,4281,/m/0272b4p,,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Bra,6751,/m/03h4kpc,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Carré du Père Antoine,19143,/m/04dm3tc,,,,"cheese, dairy",,,,,,,,,
Granular cheese,19144,/m/03cqwr5,,,,"cheese, dairy",,,,,,,,,
Langres,9157,/m/09cqcr,France,"Champagne-Ardenne,Langres",Cow,"Cow milk, cheese, dairy",,,,washed-rind,,,,,
Mimolette,19146,/m/0bf81p,"Belgium,France,Netherlands",,Cow,"Cow milk, cheese, dairy",,,,hard,,,,,
Olivet cendré,19147,/m/0bcv73,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Requeijão,19148,/m/0d_6b4,Brazil,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Valdeón cheese,19149,/m/0d7l55,Spain,,,"cheese, dairy",,,,,,,,,
Jarlsberg cheese,19150,/m/028tf7,Norway,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Campo de montalban,19151,/m/0280n9q,Spain,,,"cheese, dairy",,,,,,,,,
Kesong puti,19152,/m/03c1h0n,,,,"cheese, dairy",,,,,,,,,
Lüneberg cheese,19153,/m/0d_6s4,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Oka cheese,19154,/m/025_kq,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Robiola,4842,/m/0d1nx6,Italy,,"Cow,Domestic goat,Domestic sheep","Cow,Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Livarot,19156,/m/02_f5m,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Five Counties cheese,19157,/m/02pkrr2,England,,"Cow,Domestic sheep","Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Cancoillotte,19158,/m/0dxfj6,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Salers,19159,/m/09bplz,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bokmakiri cheese,19160,/m/05plwk,South Africa,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Majorero cheese,19161,/m/08q427,Spain,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Abbaye de Belloc,19162,/m/07dywq,France,Pyrenees,Domestic sheep,"Domestic sheep milk, cheese, dairy",no,six months,,semi-hard,,,,,
Pecorino,4260,/m/01pl_v,Italy,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Gorgonzola,326,/m/01z2x2,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Colby cheese,19165,/m/038cyj,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Black Butte,19166,/m/02h8b_j,United States of America,Orland,Cow,"Cow milk, cheese, dairy",no,6 months,,semi-soft,,,,,
Cuba cheese,19167,/m/04xl_j,United States of America,,,"cheese, dairy",,,,,,,,,
Paški sir,19168,/m/025wqts,,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Leerdammer,19169,/m/08q3nc,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Blue Castello,19170,/m/0f0p5x,Denmark,,Cow,"Cow milk, cheese, dairy",,,,Triple cream,,,,,
Affidelice,19171,/m/04dm3sw,,,,"cheese, dairy",,,,,,,,,
Beaufort,19172,/m/06stbl,France,Savoie,Cow,"Cow milk, cheese, dairy",,,,hard,,,,,
Minas cheese,19173,/m/08q3vv,Brazil,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Valençay,19174,/m/02r_0g1,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Dorset Drum,19175,/m/026pt7f,England,,,"cheese, dairy",,,,,,,,,
Santarém cheese,19176,/m/0287mj7,,,,"cheese, dairy",,,,,,,,,
Derby Cheese,7619,/m/03hm5_2,,,,"cheese, dairy",,,,,,,,,
Fløtemysost,19178,/m/03h5rkm,,,,"cheese, dairy",,,,,,,,,
Chhena,19179,/m/02rc_77,India,,"Water Buffalo,Cow","Water Buffalo,Cow milk, cheese, dairy",,,,,,,,,
Chanco cheese,19180,/m/03c9hj3,,,,"cheese, dairy",,,,,,,,,
Broccio Passu,19181,/m/026_t68,,,,"cheese, dairy",,,,,,,,,
Rochebarron,4845,/m/03gs3sm,France,,,"cheese, dairy",,,,,,,,,
Hoch-Ybrig,19183,/m/03cxfd0,Switzerland,Küssnacht,Simmental Cattle,"Simmental Cattle milk, cheese, dairy",,,,,,,,,
Stinking Bishop cheese,19184,/m/0770_c,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cottage cheese,19185,/m/01fd1t,,,,"cheese, dairy",,,,,,,,,
Applewood cheese,19186,/m/04f367l,,,,"cheese, dairy",,,,,,,,,
Cabri Ariègeois,19187,/m/04dm3t5,,,,"cheese, dairy",,,,,,,,,
Liederkranz cheese,19188,/m/042hh9,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cabrales cheese,19189,/m/01glzg,Spain,,"Cow,Domestic goat,Domestic sheep","Cow,Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Halloumi,19190,/m/016kgn,"Greece,Turkey",Cyprus,"Domestic sheep,Domestic goat,Cow","Domestic sheep,Domestic goat,Cow milk, cheese, dairy",,,,Soft,,,,,
Chesdale Cheese,19191,/m/01k64t,,,,"cheese, dairy",,,,,,,,,
Red Windsor cheese,19192,/m/01pkx1,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cotija cheese,19193,/m/0d9t1g,Mexico,"Cotija, Michoacán,Santa María del Oro, Jalisco",Raw cow milk,"Raw cow milk milk, cheese, dairy",,,,,,,,,
Bryndza,19194,/m/04mc2_,"Romania,Poland",,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Raclette,4629,/m/01245r,"France,Switzerland",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Morbier,19196,/m/01mzty,France,,Cow,"Cow milk, cheese, dairy",,,,semi-soft,,,,,
Chaumes cheese,19197,/m/01jl7b,France,Périgord,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Parmigiano Reggiano,9857,/m/01sbt1,Italy,"Province of Mantua,Province of Reggio Emilia,Province of Parma,Province of Modena,Province of Bologna",Cow,"Cow milk, cheese, dairy",no,"12 months minimum,24-36 months typical",Denominazione di Origine Protetta,"Granular,hard",,see Consortium site,yes,,
Brimsen,19199,/m/01xxs4d,,,,"cheese, dairy",,,,,,,,,
Caciocavallo,6898,/m/02b78d,"Romania,Italy",,"Cow,Domestic sheep","Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Telemea,19201,/m/08pzwp,Romania,,"Cow,Domestic sheep","Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Friulano,19202,/m/09pddr,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Torta del Casar,19203,/m/09h528,Spain,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Little swiss,19204,/m/0h2cd1,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Coolea,19205,/m/0glyl5,Republic of Ireland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Nabulsi cheese,19206,/m/0b2sf_,,,"Domestic sheep,Domestic goat,Cow","Domestic sheep,Domestic goat,Cow milk, cheese, dairy",,,,,,,,,
Golka,19207,/m/02z63q7,Poland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Sardo cheese,19208,/m/05pm7l,Argentina,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Double Gloucester cheese,19209,/m/05klsk,"England,United Kingdom",Gloucestershire,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Maredsous cheese,19210,/m/0c8949,,,,"cheese, dairy",,,,,,,,,
Chaubier,19211,/m/0bcxqb,France,,"Domestic goat,Cow","Domestic goat,Cow milk, cheese, dairy",,,,,,,,,
Abbaye de Tamie,19212,/m/02h881d,France,Savoie,Cow,"Cow milk, cheese, dairy",no,one month,,semi-firm,,,,,
Pied-de-Vent,19213,/m/02rth28,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Herve cheese,19214,/m/0644gq,Belgium,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Toma Piemontese,5780,/m/047m2lx,,,,"cheese, dairy",,,,,,,,,
Saint Albray,4981,/m/0c4hl2,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Roccolo,19217,/m/04dm3yb,,,,"cheese, dairy",,,,,,,,,
Explorateur,19218,/m/03qk7c3,France,,,"cheese, dairy",,,,,,,,,
La Serena cheese,19219,/m/02qh8rs,Spain,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Cheez Whiz,19220,/m/02tlp3,United States of America,,,"cheese, dairy",,,,,,,,,
Triple cream,19221,/m/027vkh1,,,,"cheese, dairy",,,,,,,,,
Orval,19222,/m/04dm3xt,,,,"cheese, dairy",,,,,,,,,
Easy Cheese,19223,/m/07kf0v,United States of America,,,"cheese, dairy",,,,,,,,,
L'Etivaz,19224,/m/03wc9y0,,,,"cheese, dairy",,,,,,,,,
Bocconcini,6689,/m/0flqc7,"Italy,Canada",,"Cow,Water Buffalo","Cow,Water Buffalo milk, cheese, dairy",,,,,,,,,
Cheese spread,19226,/m/09kv6y,,,,"cheese, dairy",,,,,,,,,
Picón Bejes-Tresviso,19227,/m/055wcs5,Spain,,"Domestic sheep,Domestic goat","Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
Abertam cheese,19228,/m/07z4lt,,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Livno cheese,19229,/m/08sr2x,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cheddar cheese,19230,/m/01_r_,"Republic of Ireland,England,United Kingdom",Cheddar,"Cow,Domestic goat","Cow,Domestic goat milk, cheese, dairy",Frequently,3-30 months,,"hard,semi-hard",,,,,
Pizza cheese,19231,/m/068_x,,,,"cheese, dairy",,,,,,,,,
Bleu de Bresse,19232,/m/08_65t,France,,,"cheese, dairy",,,,,,,,,
Brick cheese,19233,/m/07wt5h,United States of America,,,"cheese, dairy",,,,,,,,,
Nökkelost cheese,19234,/m/07zf4n,Norway,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Buxton Blue cheese,19235,/m/08pxfb,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Aisy cendré,19236,/m/02rp6bd,,,,"cheese, dairy",,,,,,,,,
Pouligny Saint-Pierre,19237,/m/02vr0y2,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Sainte-Maure de Touraine,19238,/m/0gg3wc,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Banon de Provence,19239,/m/02h8388,France,Provence,Domestic goat,"Domestic goat milk, cheese, dairy",,two weeks,,semi-soft,,,,,
Toma cheese,19240,/m/083tpm,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cream cheese,19241,/m/02p2nn,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Fourme de Montbrison,19242,/m/03d2719,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Selles-sur-Cher,19243,/m/02vqyl4,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Gamalost,19244,/m/0bfjyc,Norway,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Catupiry,19245,/m/095sxx,Brazil,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
American cheese,19246,/m/06qyn0,United States of America,,Cow,"Cow milk, cheese, dairy",true,,,,,,,,
Wagasi,19247,/m/05b19_k,,,,"cheese, dairy",,,,,,,,,
Höfðingi,19248,/m/04f0lwf,,,,"cheese, dairy",,,,,,,,,
Green cheese,19249,/m/025vcjv,,,,"cheese, dairy",,,,,,,,,
Alpine Shepherd,19250,/m/02h891x,United States of America,Lake County,Domestic goat,"Domestic goat milk, cheese, dairy",no,14 months,,hard,,,,,
Gotland Blue,8293,/m/02pvyml,Sweden,,,"cheese, dairy",,,,,,,,,
Jameed,19252,/m/05g8_t,,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Pavé de Soignies,19253,/m/04dm3xz,,,,"cheese, dairy",,,,,,,,,
Ackawi cheese,19254,/m/03gq6cj,,,,"cheese, dairy",,,,,,,,,
Fine Fettle Yorkshire Cheese,8002,/m/02r3r83,England,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Lappi cheese,19256,/m/01pc44,Finland,Lapland Province,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Maasdam cheese,19257,/m/026mgj6,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Hirtenkäse,19258,/m/05p0bm7,,,,"cheese, dairy",,,,,,,,,
Västerbotten cheese,19259,/m/0b6176,Sweden,Västerbotten,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Babybel,19260,/m/025w_n6,"United States of America,France",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
D'Isigny,19261,/m/02q8xd5,,,,"cheese, dairy",,,,,,,,,
Creole cream cheese,19262,/m/02q_bl8,United States of America,,,"cheese, dairy",,,,,,,,,
Anthotyros cheese,19263,/m/08f60h,Greece,,"Domestic goat,Domestic sheep","Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Trou du Cru,19264,/m/04q2vfx,France,,,"cheese, dairy",,,,,,,,,
Primula,1905,/m/03hg4hf,,,,"cheese, dairy",,,,,,,,,
Gruyère,1462,/m/0f0x2,Switzerland,Canton of Fribourg,Cow,"Cow milk, cheese, dairy",,5-12 months,,"cooked, pressed, hard",,,,,
Itche Bai,19267,/m/0fnrm0,France,,,"cheese, dairy",,,,,,,,,
Port-du-Salut cheese,19268,/m/012465,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cougar Gold cheese,19269,/m/0cwgzl,United States of America,,,"cheese, dairy",,,,,,,,,
Azeitao,19270,/m/02h89g8,Portugal,,Domestic sheep,"Domestic sheep milk, cheese, dairy",no,90 days,,semi-soft,,,,,
Bel Paese cheese,19271,/m/02bkb7,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cheshire Mammoth Cheese,19272,/m/02821sn,,,,"cheese, dairy",,,,,,,,,
Marble cheese,19273,/m/064l2tb,,,,"cheese, dairy",,,,,,,,,
Maytag Blue cheese,19274,/m/05jz8f,United States of America,Newton,Cow,"Cow milk, cheese, dairy",yes,,,,,,,,
Abondance,19275,/m/09c1b2,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Pantysgawn,19276,/m/09fb8t,Wales,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Leyden cheese,19277,/m/02lq0p,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bundz,6854,/m/07m6lq,Poland,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Roquefort,4870,/m/016n2y,France,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Bleu Bénédictin,19280,/m/07tl4_,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Stracchino,5468,/m/0gf_g0,Italy,"Lombardy,Piedmont,Veneto",Cow,"Cow milk, cheese, dairy",,,,,,,,,
Dunlop cheese,19282,/m/06jkxf,Scotland,,"Domestic goat,Cow,Domestic sheep","Domestic goat,Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Farmer cheese,19283,/m/07jrpz,,,,"cheese, dairy",,,,,,,,,
Serra da Estrela cheese,19284,/m/0fkm8p,,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Svecia,19285,/m/0c0_gg,Sweden,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Brânză de burduf,19286,/m/04cxmj3,Romania,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Le Welsch,19287,/m/04dm3wn,,,,"cheese, dairy",,,,,,,,,
Weisslacker,19288,/m/05j0gq,Germany,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Y Fenni,19289,/m/05gxds,Wales,,,"cheese, dairy",,,,,,,,,
Brie de Meaux,19290,/m/05259f7,France,,,"cheese, dairy",,,,,,,,,
Lanark Blue,19291,/m/027_xdy,Scotland,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Oscypek,19292,/m/0258k7,Poland,,"Cow,Domestic sheep","Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Barat,19293,/m/02h89pz,United States of America,Poughkeepsie,Cow,"Cow milk, cheese, dairy",no,60 days,,firm,,,,,
Mariolles,19294,/m/04dm3wv,,,,"cheese, dairy",,,,,,,,,
Brussels' cheese,19295,/m/0c893m,Belgium,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Lymeswold cheese,19296,/m/03rs1z,England,,,"cheese, dairy",,,,,,,,,
Baguette laonnaise,19297,/m/0f88d9,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Gaperon,19298,/m/0dgjqt,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Grana,8305,/m/0gfhfz,Italy,,,"cheese, dairy",,,,,,,,,
